"","Obsclass","PredClass","ProbNotexceed","ProbExceed","SiteID"
"224395",0,"0",0.786,0.214,"224395"
"224444",1,"1",0.204,0.796,"224444"
"224474",1,"1",0.124,0.876,"224474"
"224495",0,"0",0.612,0.388,"224495"
"224501",0,"0",0.66,0.34,"224501"
"224517",0,"1",0.448,0.552,"224517"
"224528",0,"1",0.464,0.536,"224528"
"224529",0,"0",0.622,0.378,"224529"
"224538",0,"0",0.804,0.196,"224538"
"224587",1,"1",0.078,0.922,"224587"
"224599",1,"1",0.376,0.624,"224599"
"224620",1,"1",0.492,0.508,"224620"
"224670",1,"0",0.824,0.176,"224670"
"225068",0,"0",0.964,0.036,"225068"
"225086",0,"0",0.534,0.466,"225086"
"225995",1,"0",0.62,0.38,"225995"
"226172",0,"0",0.936,0.064,"226172"
"226214",0,"0",0.66,0.34,"226214"
"226759",1,"0",0.712,0.288,"226759"
"226976",1,"0",0.934,0.066,"226976"
"227662",1,"0",0.956,0.044,"227662"
"228385",0,"0",0.894,0.106,"228385"
"228543",0,"0",0.54,0.46,"228543"
"228667",0,"0",0.91,0.09,"228667"
"228720",0,"0",0.856,0.144,"228720"
"228761",1,"1",0.472,0.528,"228761"
"228793",0,"1",0.48,0.52,"228793"
"228855",0,"1",0.44,0.56,"228855"
"228864",1,"1",0.246,0.754,"228864"
"228865",1,"1",0.224,0.776,"228865"
"228882",1,"1",0.128,0.872,"228882"
"228925",1,"1",0.124,0.876,"228925"
"228973",0,"0",0.726,0.274,"228973"
"229069",0,"0",0.644,0.356,"229069"
"229094",1,"0",0.898,0.102,"229094"
"229113",0,"0",0.83,0.17,"229113"
"229114",0,"0",0.682,0.318,"229114"
"229127",0,"0",0.966,0.034,"229127"
"229135",0,"0",0.882,0.118,"229135"
"229152",0,"1",0.498,0.502,"229152"
"229251",0,"0",0.95,0.05,"229251"
"229495",0,"0",0.984,0.016,"229495"
"229516",1,"1",0.34,0.66,"229516"
"234107",0,"0",0.784,0.216,"234107"
"234128",0,"0",0.966,0.034,"234128"
"234367",1,"0",0.888,0.112,"234367"
"234517",0,"0",0.776,0.224,"234517"
"235095",1,"1",0.39,0.61,"235095"
"235152",0,"1",0.436,0.564,"235152"
"235154",0,"0",0.622,0.378,"235154"
"235158",0,"0",0.662,0.338,"235158"
"235168",0,"0",0.694,0.306,"235168"
"235220",1,"1",0.472,0.528,"235220"
"235252",1,"1",0.274,0.726,"235252"
"235253",1,"1",0.424,0.576,"235253"
"235329",0,"0",0.866,0.134,"235329"
"235335",0,"0",0.796,0.204,"235335"
"235376",0,"0",0.684,0.316,"235376"
"235399",1,"0",0.574,0.426,"235399"
"235413",0,"0",0.906,0.094,"235413"
"235419",0,"0",0.912,0.088,"235419"
"264061",0,"0",0.72,0.28,"264061"
"264076",0,"0",0.59,0.41,"264076"
"264108",1,"1",0.074,0.926,"264108"
"264200",1,"1",0.322,0.678,"264200"
"264202",1,"1",0.194,0.806,"264202"
"264291",1,"1",0.148,0.852,"264291"
"264567",1,"1",0.432,0.568,"264567"
"264694",1,"1",0.192,0.808,"264694"
"264979",0,"0",0.81,0.19,"264979"
"265034",0,"0",0.628,0.372,"265034"
"265064",1,"1",0.288,0.712,"265064"
"265078",0,"0",0.668,0.332,"265078"
"265089",0,"0",0.752,0.248,"265089"
"265091",1,"0",0.708,0.292,"265091"
"265107",0,"0",0.806,0.194,"265107"
"265169",0,"1",0.452,0.548,"265169"
"265205",1,"1",0.368,0.632,"265205"
"265210",1,"1",0.068,0.932,"265210"
"265421",1,"1",0.406,0.594,"265421"
"265493",1,"1",0.002,0.998,"265493"
"265532",1,"1",0.002,0.998,"265532"
