"","Obsclass","PredClass","ProbNotexceed","ProbExceed","SiteInfo","DataSource","SiteID","outcomeClass"
"80352_WQP",0,"1",0.358,0.642,"80352_WQP","WQP",80352,3
"80533_WQP",0,"0",0.52,0.48,"80533_WQP","WQP",80533,0
"80587_WQP",0,"0",0.868,0.132,"80587_WQP","WQP",80587,0
"80625_WQP",0,"0",0.882,0.118,"80625_WQP","WQP",80625,0
"81969_WQP",0,"0",0.906,0.094,"81969_WQP","WQP",81969,0
"81970_WQP",0,"0",0.892,0.108,"81970_WQP","WQP",81970,0
"82000_WQP",1,"0",0.902,0.098,"82000_WQP","WQP",82000,2
"82086_WQP",0,"0",0.94,0.06,"82086_WQP","WQP",82086,0
"82265_WQP",1,"1",0.33,0.67,"82265_WQP","WQP",82265,1
"82479_WQP",0,"0",0.85,0.15,"82479_WQP","WQP",82479,0
"82640_WQP",0,"0",0.678,0.322,"82640_WQP","WQP",82640,0
"83125_WQP",1,"0",0.68,0.32,"83125_WQP","WQP",83125,2
"83264_WQP",0,"1",0.436,0.564,"83264_WQP","WQP",83264,3
"83326_WQP",0,"0",0.746,0.254,"83326_WQP","WQP",83326,0
"83593_WQP",1,"1",0.404,0.596,"83593_WQP","WQP",83593,1
"84280_WQP",0,"0",0.924,0.076,"84280_WQP","WQP",84280,0
"84306_WQP",1,"0",0.512,0.488,"84306_WQP","WQP",84306,2
"84319_WQP",0,"0",0.876,0.124,"84319_WQP","WQP",84319,0
"84357_WQP",0,"0",0.698,0.302,"84357_WQP","WQP",84357,0
"84404_WQP",1,"1",0.154,0.846,"84404_WQP","WQP",84404,1
"84501_WQP",1,"1",0.346,0.654,"84501_WQP","WQP",84501,1
"84504_WQP",0,"0",0.96,0.04,"84504_WQP","WQP",84504,0
"84649_WQP",1,"1",0.33,0.67,"84649_WQP","WQP",84649,1
"84667_WQP",1,"0",0.842,0.158,"84667_WQP","WQP",84667,2
"84679_WQP",0,"0",0.828,0.172,"84679_WQP","WQP",84679,0
"84707_WQP",0,"0",0.936,0.064,"84707_WQP","WQP",84707,0
"84894_WQP",0,"0",0.506,0.494,"84894_WQP","WQP",84894,0
"84899_WQP",0,"0",0.65,0.35,"84899_WQP","WQP",84899,0
"84910_WQP",0,"0",0.526,0.474,"84910_WQP","WQP",84910,0
"84917_WQP",1,"0",0.514,0.486,"84917_WQP","WQP",84917,2
"85354_WQP",0,"0",0.642,0.358,"85354_WQP","WQP",85354,0
"85379_WQP",1,"0",0.512,0.488,"85379_WQP","WQP",85379,2
"85396_WQP",0,"0",0.666,0.334,"85396_WQP","WQP",85396,0
"85408_WQP",0,"0",0.646,0.354,"85408_WQP","WQP",85408,0
"85541_WQP",0,"0",0.908,0.092,"85541_WQP","WQP",85541,0
"86739_WQP",0,"0",0.918,0.082,"86739_WQP","WQP",86739,0
"86745_WQP",1,"1",0.236,0.764,"86745_WQP","WQP",86745,1
"86768_WQP",1,"0",0.648,0.352,"86768_WQP","WQP",86768,2
"86778_WQP",1,"1",0.448,0.552,"86778_WQP","WQP",86778,1
"86781_WQP",0,"0",0.576,0.424,"86781_WQP","WQP",86781,0
"86880_WQP",0,"0",0.748,0.252,"86880_WQP","WQP",86880,0
"86959_WQP",0,"0",0.704,0.296,"86959_WQP","WQP",86959,0
"87019_WQP",0,"0",0.684,0.316,"87019_WQP","WQP",87019,0
"87115_WQP",0,"0",0.68,0.32,"87115_WQP","WQP",87115,0
"87123_WQP",0,"0",0.668,0.332,"87123_WQP","WQP",87123,0
"87126_WQP",0,"0",0.712,0.288,"87126_WQP","WQP",87126,0
"87154_WQP",1,"1",0.466,0.534,"87154_WQP","WQP",87154,1
"87229_WQP",0,"0",0.728,0.272,"87229_WQP","WQP",87229,0
"87236_WQP",0,"1",0.448,0.552,"87236_WQP","WQP",87236,3
"87288_WQP",1,"1",0.274,0.726,"87288_WQP","WQP",87288,1
"87302_WQP",0,"0",0.832,0.168,"87302_WQP","WQP",87302,0
"87321_WQP",0,"1",0.426,0.574,"87321_WQP","WQP",87321,3
"87370_WQP",1,"1",0.284,0.716,"87370_WQP","WQP",87370,1
"87444_WQP",0,"1",0.47,0.53,"87444_WQP","WQP",87444,3
"87463_WQP",0,"0",0.832,0.168,"87463_WQP","WQP",87463,0
"87475_WQP",1,"1",0.41,0.59,"87475_WQP","WQP",87475,1
"87493_WQP",1,"1",0.136,0.864,"87493_WQP","WQP",87493,1
"87572_WQP",1,"1",0.05,0.95,"87572_WQP","WQP",87572,1
"87586_WQP",1,"1",0.172,0.828,"87586_WQP","WQP",87586,1
"87603_WQP",1,"1",0.078,0.922,"87603_WQP","WQP",87603,1
"87666_WQP",1,"1",0.158,0.842,"87666_WQP","WQP",87666,1
"87963_WQP",0,"0",0.54,0.46,"87963_WQP","WQP",87963,0
"87989_WQP",1,"1",0.152,0.848,"87989_WQP","WQP",87989,1
"88320_WQP",0,"0",0.608,0.392,"88320_WQP","WQP",88320,0
"88435_WQP",0,"0",0.612,0.388,"88435_WQP","WQP",88435,0
"88455_WQP",0,"0",0.534,0.466,"88455_WQP","WQP",88455,0
"88666_WQP",1,"1",0.054,0.946,"88666_WQP","WQP",88666,1
"88676_WQP",0,"0",0.79,0.21,"88676_WQP","WQP",88676,0
"88697_WQP",1,"1",0.114,0.886,"88697_WQP","WQP",88697,1
"88706_WQP",0,"0",0.616,0.384,"88706_WQP","WQP",88706,0
"88734_WQP",1,"0",0.582,0.418,"88734_WQP","WQP",88734,2
"88736_WQP",0,"1",0.264,0.736,"88736_WQP","WQP",88736,3
"88792_WQP",0,"0",0.742,0.258,"88792_WQP","WQP",88792,0
"89666_WQP",0,"1",0.422,0.578,"89666_WQP","WQP",89666,3
"89700_WQP",0,"0",0.63,0.37,"89700_WQP","WQP",89700,0
"93995_WQP",0,"0",0.698,0.302,"93995_WQP","WQP",93995,0
"94047_WQP",1,"1",0.048,0.952,"94047_WQP","WQP",94047,1
"94058_WQP",1,"1",0.146,0.854,"94058_WQP","WQP",94058,1
"94079_WQP",1,"1",0.334,0.666,"94079_WQP","WQP",94079,1
"94084_WQP",1,"1",0.324,0.676,"94084_WQP","WQP",94084,1
"94117_WQP",0,"0",0.632,0.368,"94117_WQP","WQP",94117,0
"94176_WQP",0,"0",0.644,0.356,"94176_WQP","WQP",94176,0
"94203_WQP",0,"0",0.778,0.222,"94203_WQP","WQP",94203,0
"94500_WQP",0,"1",0.384,0.616,"94500_WQP","WQP",94500,3
"94612_WQP",1,"0",0.91,0.09,"94612_WQP","WQP",94612,2
"94808_WQP",0,"0",0.546,0.454,"94808_WQP","WQP",94808,0
"95025_WQP",0,"0",0.588,0.412,"95025_WQP","WQP",95025,0
"95026_WQP",0,"0",0.572,0.428,"95026_WQP","WQP",95026,0
"95044_WQP",0,"0",0.85,0.15,"95044_WQP","WQP",95044,0
"97001_WQP",1,"0",0.876,0.124,"97001_WQP","WQP",97001,2
"97155_WQP",0,"0",0.612,0.388,"97155_WQP","WQP",97155,0
"97245_WQP",0,"0",0.79,0.21,"97245_WQP","WQP",97245,0
"97557_WQP",0,"0",0.618,0.382,"97557_WQP","WQP",97557,0
"97957_WQP",0,"0",0.906,0.094,"97957_WQP","WQP",97957,0
"103492_WQP",0,"0",0.7,0.3,"103492_WQP","WQP",103492,0
"103526_WQP",0,"0",0.514,0.486,"103526_WQP","WQP",103526,0
"103536_WQP",0,"1",0.356,0.644,"103536_WQP","WQP",103536,3
