"well_id","U","As","Fl_combined"
2598,12,NA,0.9
2599,NA,NA,0.3
2600,NA,NA,0.4
2601,NA,NA,0.8
2602,NA,NA,1.4
2603,NA,NA,0.3
2609,12.8630822746667,11.51900150825,0.44
2619,38.0168684716667,1.521646395125,NA
2626,5.85333381583333,0.9231904289,NA
2629,1.2,NA,0.175
2645,19,0.73,0.5
2661,NA,NA,0.5
2669,96.38524776,39.736558615,NA
2674,8.59747501685714,8.88384115190909,NA
2679,NA,0.132914345,NA
2681,4.3358188735,0.785444893181818,NA
2702,1.275,NA,NA
2738,0.77,NA,NA
2739,2,NA,NA
2742,0.55,NA,NA
2749,150.05,1,1.01
2752,18.85,NA,0
2753,NA,NA,0.6
2756,NA,NA,NA
2758,NA,NA,0.475
2763,NA,NA,0
2768,8.4,19.5,0.31
2769,NA,NA,0
2771,7,NA,NA
2774,4.3,NA,0.2
2779,NA,NA,0.2
2780,NA,NA,0.2
2781,NA,NA,0.4
2782,NA,NA,0.5
2784,NA,NA,NA
2794,NA,NA,1.8
2798,NA,NA,NA
2806,NA,1,0.8
2810,NA,NA,0.5
2816,NA,NA,NA
2839,NA,NA,0.175
2840,NA,NA,0.55
2868,NA,NA,0.5
2877,NA,NA,0.25
2879,NA,NA,1.3
2920,NA,NA,7
2921,NA,NA,0.5
2937,NA,NA,NA
2938,NA,NA,NA
2941,NA,6.1,NA
2956,17.112416565,0.085240545,NA
2966,8.7,NA,0.8
3105,NA,NA,NA
3106,NA,NA,NA
3108,NA,NA,0.6
3113,13,NA,NA
3116,2.4,NA,0.6
3126,NA,NA,1
3127,NA,NA,NA
3143,NA,NA,1.4
3144,NA,0.4,0.39
3157,NA,NA,1
3158,NA,NA,1.3
3159,2.5,NA,NA
3166,0.63,0,0.5
3167,0.02,1,0.2
3168,0.01,1,0.2
3170,5.2686620448,10.2578367075,NA
3172,NA,NA,1.8
3173,0.1,NA,NA
3181,3.9714772472,3.93745463905263,NA
3190,NA,NA,NA
3196,2.9,NA,NA
3276,NA,NA,0.6
3280,NA,NA,0.5
3301,1.5,NA,NA
3302,NA,23,4.7
3316,NA,14,1.775
3317,NA,10,0.675
3326,NA,NA,0.41
3333,NA,NA,0.6
3345,NA,NA,1
3346,NA,2,0.4
3360,0.046829683,NA,NA
3369,NA,NA,0.6
3377,NA,NA,0.6
3381,20,NA,0.2
3387,NA,NA,NA
3416,NA,NA,0.55
3430,3.2,NA,NA
3513,NA,NA,NA
3514,NA,NA,0.6
3517,NA,NA,0.2
3518,NA,NA,0.3
3523,NA,NA,7.7
3545,NA,NA,NA
3556,NA,NA,0.4
3565,NA,NA,NA
3569,NA,10,1.05
3570,NA,NA,1.4
3585,NA,NA,1
3586,4.5,NA,NA
3603,NA,NA,2.7
3604,12,11.3333333333333,0.1
3606,NA,NA,0.4
3607,NA,NA,0.466666666666667
3618,NA,NA,0.5
3625,1.5,1.34,2.21
3667,2.15,NA,NA
3673,48.6666666666667,NA,NA
3674,35.3333333333333,NA,NA
3722,6.1,NA,NA
3772,0.8,NA,NA
3773,1.2,NA,NA
3774,0.33,NA,NA
3775,1.1,NA,NA
3875,0.64,NA,NA
3889,1.8,NA,NA
3890,0.14,NA,NA
3892,1,NA,NA
3904,1.8,NA,NA
4011,12,NA,NA
4012,2.05,NA,NA
4017,3.1,NA,NA
4019,2.6,NA,NA
4020,2.1,NA,NA
4030,24.891190864,6.5967225255,NA
4044,7,NA,NA
4047,8,NA,NA
4877,0.191721056571429,0.412850718,NA
4878,7.192030275,6.7099486895,NA
4879,6.073527458,2.46255525,NA
4880,3.84,NA,NA
4881,NA,23.57196893,NA
6157,NA,NA,NA
6165,4.2,NA,NA
6862,NA,5,1.58
6864,NA,5,1.73
6865,31,19.6666666666667,2.71
6866,2,9.6,2.25
6867,1.2,5.7,0.3
6868,1.1,4.7,0.23
6869,1,2,NA
6870,3,1,NA
6871,2.29998017385714,3.9040531084,NA
6872,3,2,NA
6874,NA,NA,NA
6875,6,1,NA
6877,4,7,NA
6878,5,1,NA
6880,1,4,NA
6881,0.54076028625,0.555567748666667,NA
6882,1.28920016425,0.854286212666667,NA
6883,1,1,NA
6885,1,1,NA
6886,1,19,NA
6887,6,2,NA
6888,5,1,NA
6889,1,1,NA
6891,0.426099425222222,0.56969385575,NA
6892,1,1,NA
6893,1,1,NA
6896,1,4,NA
6897,12,15,NA
6898,NA,NA,NA
6899,6,4,NA
6900,24,6.3,NA
7000,1.3625895005,1.1345409625,NA
7001,0.809447283,0.085240545,NA
7002,0.788641506,1.3714858855,NA
7003,2.10539136877778,0.731479677571429,NA
7004,1.8260422605,0.743818106,NA
7005,0.600201336666667,0.346150709,NA
7006,0.6059300705,1.7273280195,0.41827038
7007,0.6293465585,0.466899203266667,NA
7008,0.919234660625,1.51054528026667,0.43093015
7009,0.372500077636364,0.478855898272727,NA
7010,0.348497297214286,0.677290978454545,NA
7011,0.4412074646,0.443873985285714,NA
7012,9.31600916525,12.757601,0.83718582
7013,0.519263575428571,4.04768818644444,NA
7014,1.6626288618,2.18247274577778,NA
7015,1.206470065,0.085240545,NA
7016,0.1943966048,0.6363812102,NA
7017,0.318650864833333,12.6450676955556,NA
7018,20.504622143125,17.0085768271,NA
7019,0.414864886,0.2828846565,NA
7020,76.1962126645455,26.5610274,NA
7021,70.5693497009091,34.5417825833333,NA
7022,44.6120594633333,0.718968983777778,NA
7023,1.89821628825,0.765689677833333,NA
7024,1.79195570583333,1.18917155916667,NA
7025,0.243932061916667,0.591575596454545,NA
7026,0.22970081,0.4873381725,NA
7027,26.6726226466667,1.49687146922222,NA
7028,3.13647702825,4.15148812333333,NA
7029,0.046829683,1.826135398,NA
7030,0.429610325583333,1.07729617263636,NA
7032,17.9263223953333,0.868612877818182,NA
7033,8.76504269266667,6.56231984392308,NA
7034,11.0743819,8.475561517,NA
7035,3.166738284,0.692330522428571,NA
7036,12.3397165685714,16.4186993176471,NA
7037,26.0848050627273,0.584353994090909,NA
7039,NA,20.70151271,NA
7040,29.16217521,1.432182306,NA
7041,3.98398194125,11.718494561,NA
7042,0.8520677248,11.0787509180667,NA
7043,12.1244833025833,15.3241961390909,NA
7044,33.5232405233333,1.46835463655556,NA
7045,17.03914986,2.4324390895,1.68746071
7046,8.34070109683333,63.6959534425,NA
7047,3.10250866,1.168690618,NA
7048,12.1945271368462,1.14290591172727,NA
7049,17.945518695,1.59889575772727,NA
7050,3.57701619316667,4.4762459412,0.59162545
7051,0.8634368468,0.748380755428571,NA
7052,1.1681779248,1.30169670375,NA
7053,257.47309986,2.6224673,NA
7054,3.4008255245,0.588204494,NA
7055,132.066632966667,8.1361381075,NA
7056,0.640567302,0.085240545,NA
7057,0.744931099777778,2.19101371672727,0.984053266666667
7058,11.4732257533333,32.72588759,NA
7059,0.8124523017,2.23865778984615,NA
7060,14.277742724,1.57395172681818,NA
7061,2.611464988,2.729927661,NA
7062,0.852098177,3.37308196,NA
7063,2.0707805945,3.013234648,NA
7064,13.5885216488462,30.4480304658571,NA
7065,7.75139323766667,9.629833129,NA
7066,0.397671658818182,3.53876002094737,NA
7067,4.06188323516667,7.12536937833333,NA
7068,8.58153776266667,1.217499042,NA
7069,2.90974275330769,3.30853016746667,NA
7070,4.685934209,1.867776788,NA
7071,0.331897296,3.621100263,NA
7073,89.48983821,21.04640512,NA
7074,10.0304378226667,41.280599735,NA
7075,4.38016421388889,23.2563953760833,0.044949576
7077,0.888326119555556,2.29300076441667,NA
7078,4.4761198835,2.39237099544444,NA
7079,0.461249122,3.55077581271429,NA
7080,0.439983186666667,14.0061533766667,NA
7081,2.67474520558333,0.3601900142,NA
7082,0.588525525,1.11208485566667,NA
7083,0.698787034,0.359602779,NA
7084,62.25679258,1.364141317,NA
7085,11,NA,NA
7087,1.4,NA,NA
7088,2.8,NA,NA
7089,0.29,NA,NA
7090,3.2,NA,NA
7091,0.34,NA,NA
7092,3.2,NA,NA
7093,0.92,NA,NA
7094,0.69,NA,NA
7095,6,NA,NA
7096,1.4,NA,NA
7097,13,NA,NA
7099,0.79,NA,NA
7100,1.4,NA,NA
7101,3.6,NA,NA
7102,NA,NA,NA
7103,7.5,NA,NA
