"welldpth","latitude","longitude","u_dn_ppb","u_fl_ppb","state"
NA,37.1794,-108.21,NA,1.8,"CO"
NA,37.2178,-108.2231,NA,2.08,"CO"
NA,37.2386,-108.2153,NA,1.26,"CO"
NA,37.2572,-108.2139,NA,1.91,"CO"
NA,37.2869,-108.1989,NA,1.63,"CO"
NA,37.2858,-108.1969,NA,0.49,"CO"
NA,37.2589,-108.0908,NA,0.1,"CO"
NA,37.2825,-108.0753,NA,0.26,"CO"
NA,37.2194,-108.1264,NA,1.05,"CO"
NA,37.2106,-108.1744,NA,4.57,"CO"
NA,37.1756,-108.1378,NA,3.22,"CO"
NA,37.1533,-108.1469,NA,3.34,"CO"
NA,37.1917,-108.1339,NA,4.96,"CO"
NA,37.2856,-108.2489,NA,0.7,"CO"
NA,37.2978,-108.2981,11.9,11.9,"CO"
NA,37.27,-108.3069,NA,4.58,"CO"
NA,37.2367,-108.3078,NA,6.05,"CO"
NA,37.3589,-108.2542,NA,0.62,"CO"
NA,37.3592,-108.2497,NA,0.65,"CO"
NA,37.3306,-108.1881,NA,0.51,"CO"
NA,37.3603,-108.1492,NA,0.1,"CO"
NA,37.3592,-108.1586,NA,0.24,"CO"
NA,37.3603,-108.2003,NA,1.14,"CO"
NA,37.3842,-108.1361,NA,0.36,"CO"
NA,37.3719,-108.2319,NA,0.29,"CO"
NA,37.3706,-108.2317,NA,0.1,"CO"
NA,37.3864,-108.2583,NA,0.1,"CO"
NA,37.3958,-108.2033,NA,0.1,"CO"
NA,37.4069,-108.1928,NA,0.26,"CO"
NA,37.405,-108.1922,NA,1.19,"CO"
NA,37.2389,-108.2906,NA,2.1,"CO"
NA,37.3828,-108.3428,NA,1.81,"CO"
NA,37.3794,-108.3658,NA,2.43,"CO"
NA,37.3739,-108.3356,NA,3.33,"CO"
NA,37.3697,-108.2992,NA,0.1,"CO"
NA,37.345,-108.2808,NA,0.25,"CO"
NA,37.3411,-108.3169,NA,0.86,"CO"
NA,37.3158,-108.3381,9.1,9.1,"CO"
NA,37.2972,-108.3664,NA,3.35,"CO"
NA,37.2983,-108.3633,NA,4.72,"CO"
NA,37.3369,-108.3517,NA,1.35,"CO"
NA,37.35,-108.3431,NA,0.32,"CO"
NA,37.1542,-108.0533,NA,7.48,"CO"
NA,37.14,-108.0758,NA,1.29,"CO"
NA,37.3264,-108.0631,NA,0.1,"CO"
NA,37.3381,-108.0614,NA,0.2,"CO"
NA,37.3383,-108.0803,9.9,9.9,"CO"
NA,37.3644,-108.0775,NA,0.1,"CO"
NA,37.3828,-108.0764,NA,0.16,"CO"
NA,37.3956,-108.0658,NA,0.1,"CO"
NA,37.4111,-108.0517,NA,0.1,"CO"
NA,37.4253,-108.0422,NA,0.1,"CO"
NA,37.1989,-108.0436,NA,0.1,"CO"
NA,37.2136,-108.0731,NA,0.1,"CO"
NA,37.1722,-108.0383,NA,0.1,"CO"
NA,37.1722,-108.0372,82.8,82.8,"CO"
