"","well_id","Alkalinity","As","B","Bicarbonate","Ca","Carbonate","Fe","pH","Si","SO4-","SpecificConductance","U"
"475",1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"476",1180,NA,0.165911134,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1039754985
"477",1181,NA,8.711324257,NA,NA,13.97695687,NA,NA,NA,NA,NA,NA,3.008864696
"478",1187,NA,1.1306931255,NA,NA,20.36815287,NA,NA,NA,NA,NA,NA,0.699967503
"479",1193,NA,2.009010207,NA,NA,21.91894783,NA,NA,NA,NA,NA,NA,0.744123974
"480",1194,NA,0.8236518975,NA,NA,16.515213545,NA,NA,NA,NA,NA,NA,0.5336450915
"481",1195,NA,1.054609789,NA,NA,28.40778361,NA,NA,NA,NA,NA,NA,4.1
"482",1197,NA,0.475801483,NA,NA,30.65440129,NA,NA,NA,NA,NA,NA,0.184735646
"483",1198,NA,2.29000538,NA,NA,88.60620017,NA,NA,NA,NA,NA,NA,2.654881805
"484",1199,NA,2.4619310715,NA,NA,19.63051176,NA,NA,NA,NA,NA,NA,0.567607655
"485",1201,NA,1.5480622575,NA,NA,14.03509779,NA,NA,NA,NA,NA,NA,1.477940171
"486",1224,NA,1.69455062,NA,NA,28.35089292,NA,NA,NA,NA,NA,NA,0.976126376
"487",1225,NA,10.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.09
"488",1226,NA,5.1070077645,NA,NA,16.22322118,NA,NA,NA,NA,NA,NA,2.7305821095
"489",1229,NA,2.0778349375,NA,NA,37.69690935,NA,NA,NA,NA,NA,NA,4.4818007705
"490",1230,NA,11.773780165,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1179975805
"491",1239,NA,1.733641694,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.01
"492",1240,NA,3.168950443,NA,NA,38.195324865,NA,NA,NA,NA,NA,NA,5.934106903
"493",1249,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,3.6
"494",1263,NA,1,NA,NA,800,NA,70,7.65,NA,NA,NA,7
"495",1264,NA,0.342182492,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.999726452
"496",1265,NA,3.9351283785,NA,NA,NA,NA,NA,8.05,NA,NA,NA,0.4450769095
"497",1267,NA,2.209203922,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293042905
"498",1276,NA,1.230550107,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72501757
"499",1277,NA,43.97497373,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5537446355
"500",1278,NA,0.660866962,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.289870647
"501",1281,NA,3.784630642,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.709888552
"502",1284,NA,0.121203103,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318301552
"503",1289,NA,0.6156505765,NA,NA,970,NA,12000,7.25,NA,NA,NA,0.8388406225
"504",1294,NA,0.473531871,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2045567
"505",1298,NA,26,310,NA,8.7,NA,310,8.7,NA,NA,NA,0.785
"506",1304,NA,0.199132584,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19735617
"507",1305,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2.7
"508",1319,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,3
"509",1323,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2.9
"510",1325,NA,0.379247784,NA,NA,76.59521843,NA,NA,7,NA,NA,NA,3.458652364
"511",1328,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,3.2
"512",1348,NA,1.2383528005,NA,NA,87.90649926,NA,NA,NA,NA,NA,NA,4.642151625
"513",1350,NA,0.987751324,NA,NA,87.47557593,NA,NA,7,NA,NA,NA,4.1717798085
"514",1355,NA,8.6386416685,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.315098118
"515",1371,NA,0.91895158,NA,NA,92.53779818,NA,NA,7,NA,NA,NA,3.656471022
"516",1372,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,3.4
"517",1381,NA,3.079330846,NA,NA,86.7132208,NA,NA,7,NA,NA,NA,3.086024239
"518",1394,NA,2.1402617985,NA,NA,80.41834653,NA,NA,NA,NA,NA,NA,3.1804222775
"519",1396,NA,0.4650610295,NA,NA,7.088345894,NA,NA,NA,NA,NA,NA,4.9761020865
"520",1397,NA,6.1538213595,NA,NA,92.3239617,NA,NA,7,NA,NA,NA,3.013083874
"521",1403,NA,3.949271194,NA,NA,46.800206875,NA,NA,7,NA,NA,NA,1.3
"522",1424,NA,13.84493128,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109354259
"523",1425,NA,3.1422784,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.738932829
